year_month,importo
2015-01,10619.410000000002
2015-02,-11282.98
2015-03,-3129.9300000000003
2015-04,7264.839999999998
2015-05,-14279.200000000003
2015-06,-18132.23
2015-07,-28920.160000000003
2015-08,30175.18
2015-09,-7307.1100000000015
2015-10,120511.21
2015-11,-7184.27
2015-12,3707.420000000003
2016-01,2668.5000000000005
2016-02,-27397.079999999998
2016-03,37610.83
2016-04,14682.93
2016-05,1144.1600000000017
2016-06,-5107.240000000001
2016-07,18078.899999999998
2016-08,-39072.78
2016-09,4298.85
2016-10,114693.54
2016-11,7077.040000000001
2016-12,-3969.5700000000015
2017-01,64245.85
2017-02,-10239.2
2017-03,-10432.509999999998
2017-04,11423.05
2017-05,-14179.449999999999
2017-06,25603.11
2017-07,25102.18
2017-08,-17777.25
2017-09,-26529.190000000002
2017-10,94320.26000000001
2017-11,10898.030000000002
2017-12,-6873.769999999999
2018-01,-8635.32
2018-02,35829.72
2018-03,-15834.329999999998
2018-04,-35854.22
2018-05,43717.98
2018-06,-5141.229999999997
2018-07,2464.5599999999986
2018-08,16830.9
2018-09,103.92000000000007
2018-10,127194.65
2018-11,-9552.09
2018-12,11555.2
2019-01,-11661.14
2019-02,-12183.51
2019-03,47939.33
2019-04,-5922.420000000004
2019-05,-21677.260000000002
2019-06,42074.22
2019-07,-14995.21
2019-08,2549.2999999999984
2019-09,-24036.65
2019-10,128460.1
2019-11,-8400.140000000001
2019-12,41456.1
2020-01,23809.749999999996
2020-02,10479.339999999997
2020-03,4582.400000000001
2020-04,22514.18
2020-05,-9719.23
2020-06,21110.82
2020-07,28914.28
2020-08,-38717.34
2020-09,-18856.73
2020-10,121766.89
2020-11,-39868.16
2020-12,-21540.509999999995
2021-01,6697.020000000004
2021-02,6080.0199999999995
2021-03,2838.5500000000025
2021-04,4600.8399999999965
2021-05,4274.249999999999
2021-06,-5422.78
2021-07,-12522.05
2021-08,-4583.960000000001
2021-09,14906.95
2021-10,142999.24
2021-11,20236.12
2021-12,29439.09
2022-01,-25869.79
2022-02,-7469.069999999999
2022-03,-13108.009999999998
2022-04,-8971.82
2022-05,1053.5800000000002
2022-06,1626.9900000000011
2022-07,-11833.52
2022-08,31631.260000000002
2022-09,-24986.55
2022-10,134545.58000000002
2022-11,-25829.04
2022-12,10231.04
2023-01,36992.21
2023-02,-39494.38
2023-03,-9062.689999999997
2023-04,-28626.380000000005
2023-05,17351.42
2023-06,-3697.4900000000016
2023-07,-4307.160000000001
2023-08,-33262.51
2023-09,-20536.05
2023-10,122651.96999999999
2023-11,16070.050000000001
2023-12,-285.88000000000125
2024-01,57714.96
2024-02,16883.31
2024-03,-12614.359999999999
2024-04,-12915.5
2024-05,15619.900000000001
2024-06,18614.489999999998
2024-07,58425.020000000004
2024-08,-7401.54
2024-09,8809.280000000002
2024-10,110987.38
2024-11,-25868.85
2024-12,-191701.56
2025-01,-20003.25
2025-02,28579.6
2025-03,-88211.35
2025-04,-1583.5400000000004
2025-05,18638.99
2025-06,-9878.799999999997
2025-07,-394.03000000000065
2025-08,-1414.1499999999999
2025-09,14406.25
2025-10,125895.51000000001
2025-11,-51.68999999999778
2025-12,4345.090000000003
